anime_id,title,anime_url,views,type,rating_avg
16752,В поисках бессмертия,v-poiskah-bessmertiya,17 315,ONA,4.14
16746,Детектив Ягодички 9,detektiv-yagodichki-9,10 908,Сериал,4.00
16740,Первородный грех Такопи,pervorodnyy-greh-takopi,1 122 962,ONA,8.59
16714,Мастерская котёнка,masterskaya-kotenka,5 180,Короткометражный фильм,6.62
16658,Вы хотите войти в будущее прямо сейчас?,vy-hotite-voyti-v-buduschee-pryamo-seychas,9 497,Не важно,6.11
16652,Юный лев,yuniy-lev,8 887,Полнометражный фильм,5.90
16651,Адский уровень: Хардкорный геймер на самой высокой сложности в другом мире,adskiy-rezhim-geymer-kotoryy-lyubit-spidran-stanovitsya-bespodobnym-v-parallelnom-mire-s-ustarevshimi-nastroykami,2 977 062,Сериал,7.83
16650,Медведи-соседи: Перезапуск будущего,medvedi-sosedi-perezapusk-buduschego,5 194,Полнометражный фильм,6.00
16649,Юный лев 2,yunyy-lev-2,20 002,Полнометражный фильм,6.36
16648,Проект капсул: Герои,proekt-kapsul-geroi,8 671,ONA,4.60
16622,Девушка на час 3: Вызов девушки на час,kanojo-okarishimasu-3rd-season-kanokari-call,24 000,Спешл,5.45
16621,Мобильный воин Гандам: GQuuuuuuX,kidou-senshi-gundam-gquuuuuux,63 966,Сериал,6.75
16620,Театр Косукэ Масуды 5,masuda-kousuke-gekijou-gag-manga-biyori-go,3 163,Сериал,5.50
16619,Учитель Ёваёва,uchitel-evaeva,333 256,Сериал,7.75
16608,Детектив Конан: Воспоминания одноглазого — Фильм 28,meitantei-conan-movie-28-sekigan-no-flashback,27 306,Полнометражный фильм,7.41
16582,Сильнейшая секта всех времён,silneyshaya-sekta-vseh-vremen,23 166,ONA,6.23
16566,Сводники духов: Лисьи свахи — История горы Хуанфэн,huyao-xiao-hongniang-huang-feng-ling-pian,4 886,ONA,0.00
16565,Лазурное наследие 2,lazurnoe-nasledie-2,43 150,ONA,7.35
16559,Гносия,gnosiya,383 526,Сериал,8.43
16558,Преимущество при рождении 2,preimuschestvo-pri-rozhdenii-2,27 285,Сериал,5.12
16537,Пик боевых искусств,pik-boevyh-iskusstv,48 539,ONA,7.50
16536,Лей-ап левой рукой 2,ley-ap-levoy-rukoy-2,26 611,ONA,7.41
16530,Ями Шибаи: Cтарый колодец,yami-shibai-ctariy-kolodets,5 280,ONA,6.41
16524,Безымянные страшилки 3,bezimyannie-strashilki-3,6 903,Малометражный сериал,5.71
16523,Мастера дуэлей: Пропавшие — Мрачный жнец под луной,mastera-dueley-propavshie-mrachnyy-zhnec-pod-lunoy,8 942,ONA,5.40
16518,Капитан Фьючер,kapitan-fyucher,5 185,Сериал,6.22
16513,Театр тьмы 14,yami-shibai-yaponskie-rasskazy-o-privideniyah-14,15 059,Малометражный сериал,6.65
16500,Люпен III: Бессмертная родословная,lupin-the-iiird-the-movie,19 195,Полнометражный фильм,7.92
16487,Пришелец Муму,prishelec-mumu,33 430,Сериал,7.48
16476,"Белого мага, изгнанного из команды героя, подобрал авантюрист ранга S: Этот белый маг слишком нестандартный",belogo-maga-izgnannogo-iz-komandy-geroya-podobral-avantyurist-ranga-s-etot-belyy-mag-slishkom-nestandartnyy,787 512,Сериал,6.09
16465,Человек-невидимка и обычная девушка: Эти двое скоро станут мужем и женой,chelovek-nevidimka-i-obychnaya-devushka-eti-dvoe-skoro-stanut-muzhem-i-zhenoy,236 326,Сериал,7.84
16459,Новые приключения пчёлки Майи,novie-priklyucheniya-pchelki-mayi,5 536,Сериал,8.00
16445,"Лето, когда погас свет",leto-kogda-pogas-svet,2 410 562,Сериал,8.13
16422,Мирские стремления,mirskie-stremleniya,44 831,Сериал,7.00
16421,Я заставил миллион даосов реветь от злости 2,ya-zastavil-million-daosov-revet-ot-zlosti-2,13 097,ONA,6.14
16415,Разгадывание тайн после ужина,razgadyvanie-tayn-posle-uzhina,32 559,Сериал,6.50
16399,Ты и я — полные противоположности,ty-i-ya-polnye-protivopolozhnosti,673 683,Сериал,8.62
16388,Александр Завоеватель: Фильм,aleksandr-zavoevatel-film,8 638,Полнометражный фильм,5.88
16387,Годы студенчества,gody-studenchestva,5 554,ONA,6.08
16381,Кастлвания: Ноктюрн 2,kastlvaniya-noktyurn-2,40 851,ONA,7.00
16330,Море в коробке,more-v-korobke,24 738,ONA,7.31
16329,Искажённая страна чудес: Эпизод Октавинелля,iskazhennaya-strana-chudes-epizod-oktavinellya,18 909,ONA,0.00
16328,Искажённая страна чудес: Эпизод Саванакло,iskazhennaya-strana-chudes-epizod-savanaklo,25 616,ONA,0.00
16327,Кошачий глаз,koshachiy-glaz,27 205,ONA,6.81
16311,Звёздные войны: Видения 3,zvezdnye-voyny-videniya-3,14 526,ONA,4.39
16300,Энн Ширли,enn-shirli,130 834,Сериал,8.47
16269,Всё тот же невзрачный боец,busamen-gachi-fighter,989 365,Сериал,6.55
16268,Запрещённый крот,zapreschennyy-krot,127 199,Сериал,8.04
16262,Картофельные младенцы (2011),kartofelnie-mladentsi-2011,3 348,ONA,4.67
16246,"Добро пожаловать в ад, Ирума-кун! 4",dobro-pozhalovat-v-ad-iruma-4,369 558,Сериал,8.78
16220,Фасоль,fasol,4 789,Спешл,7.25
16214,Тетрадь дружбы Нацумэ 7: Спецвыпуск,tetrad-druzhby-nacume-7-specvypusk,16 806,Спешл,8.48
16208,Бобобо-бо Бо-бобо,bobobo-bo-bo-bobo,8 623,Сериал,6.50
16202,Одна секунда,odna-sekunda,7 289,Сериал,7.80
16201,Радиосигнал от чудачки. Юноша на связи: Полуночное солнце,radiosignal-ot-chudachki-yunosha-na-svyazi-polunochnoe-solntse,12 083,Спешл,7.49
16194,Фармагия,farmagiya,38 052,Сериал,6.17
16184,Небесный колос принцессы Сакуны: Дневник рисоводства Кокоровы,nebesnyy-kolos-princessy-sakuny,9 521,Спешл,7.00
16183,Ловец бейсбольного поля!,lovec-beysbolnogo-polya,102 070,Сериал,7.31
16157,Дни Сакамото | Часть 2,dni-sakamoto-chast-2,691 207,Сериал,8.45
16130,Мангака и его ассистентка: Спецвыпуски,mangaka-ego-assistentka-spetsvipuski,20 470,Спешл,7.20
16129,Цирк марионеток: Рекап,tsirk-marionetok-rekap,6 420,Спешл,6.54
16118,Гиперактивный заяц (2023) 2,giperaktivnyy-zayac-2023-2,5 388,Сериал,5.73
16117,Противостояние святого: Битва пришествия богов,protivostoyanie-svyatogo-bitva-prishestviya-bogov,39 933,ONA,7.43
16096,Забвение бэттери 2,zabvenie-betteri-2,5 237,Сериал,0.00
